Fund,ISIN,Index,Sector,Allocation
SPDR MSCI Europe Small Cap UCITS ETF,IE00BKWQ0M75,MSCI Europe Small Cap,Other,42.29
SPDR MSCI Europe Small Cap UCITS ETF,IE00BKWQ0M75,MSCI Europe Small Cap,Industrials,23.08
SPDR MSCI Europe Small Cap UCITS ETF,IE00BKWQ0M75,MSCI Europe Small Cap,Financials,15.5
SPDR MSCI Europe Small Cap UCITS ETF,IE00BKWQ0M75,MSCI Europe Small Cap,Consumer Discretionary,10.11
SPDR MSCI Europe Small Cap UCITS ETF,IE00BKWQ0M75,MSCI Europe Small Cap,Real Estate,9.02
Xtrackers MSCI Europe Small Cap UCITS ETF 1C,LU0322253906,MSCI Europe Small Cap,Other,42.45
Xtrackers MSCI Europe Small Cap UCITS ETF 1C,LU0322253906,MSCI Europe Small Cap,Industrials,23.17
Xtrackers MSCI Europe Small Cap UCITS ETF 1C,LU0322253906,MSCI Europe Small Cap,Financials,15.69
Xtrackers MSCI Europe Small Cap UCITS ETF 1C,LU0322253906,MSCI Europe Small Cap,Consumer Discretionary,9.85
Xtrackers MSCI Europe Small Cap UCITS ETF 1C,LU0322253906,MSCI Europe Small Cap,Real Estate,8.84
SPDR MSCI Europe Small Cap Value Weighted UCITS ETF,IE00BSPLC298,MSCI Europe Small Cap Value Weighted,Other,36.04
SPDR MSCI Europe Small Cap Value Weighted UCITS ETF,IE00BSPLC298,MSCI Europe Small Cap Value Weighted,Industrials,21.73
SPDR MSCI Europe Small Cap Value Weighted UCITS ETF,IE00BSPLC298,MSCI Europe Small Cap Value Weighted,Financials,17.39
SPDR MSCI Europe Small Cap Value Weighted UCITS ETF,IE00BSPLC298,MSCI Europe Small Cap Value Weighted,Basic Materials,13.03
SPDR MSCI Europe Small Cap Value Weighted UCITS ETF,IE00BSPLC298,MSCI Europe Small Cap Value Weighted,Consumer Discretionary,11.81
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (C),LU1861137484,MSCI Europe SRI Filtered PAB,Other,42.44
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (C),LU1861137484,MSCI Europe SRI Filtered PAB,Financials,18.78
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (C),LU1861137484,MSCI Europe SRI Filtered PAB,Industrials,16.89
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (C),LU1861137484,MSCI Europe SRI Filtered PAB,Health Care,11.05
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (C),LU1861137484,MSCI Europe SRI Filtered PAB,Consumer Discretionary,10.84
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (D),LU2059756598,MSCI Europe SRI Filtered PAB,Other,42.44
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (D),LU2059756598,MSCI Europe SRI Filtered PAB,Financials,18.78
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (D),LU2059756598,MSCI Europe SRI Filtered PAB,Industrials,16.89
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (D),LU2059756598,MSCI Europe SRI Filtered PAB,Health Care,11.05
Amundi Index MSCI Europe SRI PAB UCITS ETF DR (D),LU2059756598,MSCI Europe SRI Filtered PAB,Consumer Discretionary,10.84
iShares MSCI Europe SRI UCITS ETF (Acc),IE00B52VJ196,MSCI Europe SRI Select Reduced Fossil Fuel,Other,42.02
iShares MSCI Europe SRI UCITS ETF (Acc),IE00B52VJ196,MSCI Europe SRI Select Reduced Fossil Fuel,Financials,20.42
iShares MSCI Europe SRI UCITS ETF (Acc),IE00B52VJ196,MSCI Europe SRI Select Reduced Fossil Fuel,Industrials,16.52
iShares MSCI Europe SRI UCITS ETF (Acc),IE00B52VJ196,MSCI Europe SRI Select Reduced Fossil Fuel,Consumer Staples,10.55
iShares MSCI Europe SRI UCITS ETF (Acc),IE00B52VJ196,MSCI Europe SRI Select Reduced Fossil Fuel,Technology,10.49
iShares MSCI Europe SRI UCITS ETF EUR (Dist),IE00BGDPWW94,MSCI Europe SRI Select Reduced Fossil Fuel,Other,42.02
iShares MSCI Europe SRI UCITS ETF EUR (Dist),IE00BGDPWW94,MSCI Europe SRI Select Reduced Fossil Fuel,Financials,20.42
iShares MSCI Europe SRI UCITS ETF EUR (Dist),IE00BGDPWW94,MSCI Europe SRI Select Reduced Fossil Fuel,Industrials,16.52
iShares MSCI Europe SRI UCITS ETF EUR (Dist),IE00BGDPWW94,MSCI Europe SRI Select Reduced Fossil Fuel,Consumer Staples,10.55
iShares MSCI Europe SRI UCITS ETF EUR (Dist),IE00BGDPWW94,MSCI Europe SRI Select Reduced Fossil Fuel,Technology,10.49
iShares MSCI France UCITS ETF,IE00BP3QZJ36,MSCI France,Other,31.13
iShares MSCI France UCITS ETF,IE00BP3QZJ36,MSCI France,Industrials,27.71
iShares MSCI France UCITS ETF,IE00BP3QZJ36,MSCI France,Consumer Discretionary,22.46
iShares MSCI France UCITS ETF,IE00BP3QZJ36,MSCI France,Financials,9.84
iShares MSCI France UCITS ETF,IE00BP3QZJ36,MSCI France,Consumer Staples,8.86
iShares MSCI India UCITS ETF USD (Acc),IE00BZCQB185,MSCI India,Other,40.92
iShares MSCI India UCITS ETF USD (Acc),IE00BZCQB185,MSCI India,Financials,25.92
iShares MSCI India UCITS ETF USD (Acc),IE00BZCQB185,MSCI India,Consumer Discretionary,13.09
iShares MSCI India UCITS ETF USD (Acc),IE00BZCQB185,MSCI India,Technology,11.68
iShares MSCI India UCITS ETF USD (Acc),IE00BZCQB185,MSCI India,Industrials,8.39
Deka MSCI Japan UCITS ETF,DE000ETFL300,MSCI Japan,Other,28.61
Deka MSCI Japan UCITS ETF,DE000ETFL300,MSCI Japan,Industrials,23.0
Deka MSCI Japan UCITS ETF,DE000ETFL300,MSCI Japan,Consumer Discretionary,19.13
Deka MSCI Japan UCITS ETF,DE000ETFL300,MSCI Japan,Financials,15.58
Deka MSCI Japan UCITS ETF,DE000ETFL300,MSCI Japan,Technology,13.68
iShares MSCI Japan UCITS ETF (Dist),IE00B02KXH56,MSCI Japan,Other,28.67
iShares MSCI Japan UCITS ETF (Dist),IE00B02KXH56,MSCI Japan,Industrials,22.98
iShares MSCI Japan UCITS ETF (Dist),IE00B02KXH56,MSCI Japan,Consumer Discretionary,19.1
iShares MSCI Japan UCITS ETF (Dist),IE00B02KXH56,MSCI Japan,Financials,15.56
iShares MSCI Japan UCITS ETF (Dist),IE00B02KXH56,MSCI Japan,Technology,13.69
iShares MSCI Japan UCITS ETF USD (Acc),IE00B53QDK08,MSCI Japan,Other,28.73
iShares MSCI Japan UCITS ETF USD (Acc),IE00B53QDK08,MSCI Japan,Industrials,22.99
iShares MSCI Japan UCITS ETF USD (Acc),IE00B53QDK08,MSCI Japan,Consumer Discretionary,19.08
iShares MSCI Japan UCITS ETF USD (Acc),IE00B53QDK08,MSCI Japan,Financials,15.53
iShares MSCI Japan UCITS ETF USD (Acc),IE00B53QDK08,MSCI Japan,Technology,13.67
HSBC MSCI Japan UCITS ETF USD,IE00B5VX7566,MSCI Japan,Other,28.33
HSBC MSCI Japan UCITS ETF USD,IE00B5VX7566,MSCI Japan,Industrials,23.12
HSBC MSCI Japan UCITS ETF USD,IE00B5VX7566,MSCI Japan,Consumer Discretionary,19.17
HSBC MSCI Japan UCITS ETF USD,IE00B5VX7566,MSCI Japan,Financials,15.63
HSBC MSCI Japan UCITS ETF USD,IE00B5VX7566,MSCI Japan,Technology,13.75
SPDR MSCI Japan UCITS ETF,IE00BZ0G8B96,MSCI Japan,Other,28.31
SPDR MSCI Japan UCITS ETF,IE00BZ0G8B96,MSCI Japan,Industrials,23.12
SPDR MSCI Japan UCITS ETF,IE00BZ0G8B96,MSCI Japan,Consumer Discretionary,19.17
SPDR MSCI Japan UCITS ETF,IE00BZ0G8B96,MSCI Japan,Financials,15.62
SPDR MSCI Japan UCITS ETF,IE00BZ0G8B96,MSCI Japan,Technology,13.78
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-dis,LU0136240974,MSCI Japan,Other,29.09
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-dis,LU0136240974,MSCI Japan,Industrials,22.86
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-dis,LU0136240974,MSCI Japan,Consumer Discretionary,18.98
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-dis,LU0136240974,MSCI Japan,Financials,15.45
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-dis,LU0136240974,MSCI Japan,Technology,13.62
Xtrackers MSCI Japan UCITS ETF 1C,LU0274209740,MSCI Japan,Other,28.36
Xtrackers MSCI Japan UCITS ETF 1C,LU0274209740,MSCI Japan,Industrials,23.1
Xtrackers MSCI Japan UCITS ETF 1C,LU0274209740,MSCI Japan,Consumer Discretionary,19.16
Xtrackers MSCI Japan UCITS ETF 1C,LU0274209740,MSCI Japan,Financials,15.62
Xtrackers MSCI Japan UCITS ETF 1C,LU0274209740,MSCI Japan,Technology,13.76
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-acc,LU0950671825,MSCI Japan,Other,29.09
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-acc,LU0950671825,MSCI Japan,Industrials,22.86
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-acc,LU0950671825,MSCI Japan,Consumer Discretionary,18.98
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-acc,LU0950671825,MSCI Japan,Financials,15.45
UBS ETF (LU) MSCI Japan UCITS ETF (JPY) A-acc,LU0950671825,MSCI Japan,Technology,13.62
Amundi Index MSCI Japan UCITS ETF DR EUR (C),LU1602144732,MSCI Japan,Other,28.85
Amundi Index MSCI Japan UCITS ETF DR EUR (C),LU1602144732,MSCI Japan,Financials,20.33
Amundi Index MSCI Japan UCITS ETF DR EUR (C),LU1602144732,MSCI Japan,Industrials,18.07
Amundi Index MSCI Japan UCITS ETF DR EUR (C),LU1602144732,MSCI Japan,Consumer Discretionary,17.28
Amundi Index MSCI Japan UCITS ETF DR EUR (C),LU1602144732,MSCI Japan,Technology,15.47
Amundi ETF MSCI Japan UCITS ETF DR JPY,LU1602144815,MSCI Japan,Other,28.85
Amundi ETF MSCI Japan UCITS ETF DR JPY,LU1602144815,MSCI Japan,Financials,20.33
Amundi ETF MSCI Japan UCITS ETF DR JPY,LU1602144815,MSCI Japan,Industrials,18.07
Amundi ETF MSCI Japan UCITS ETF DR JPY,LU1602144815,MSCI Japan,Consumer Discretionary,17.28
Amundi ETF MSCI Japan UCITS ETF DR JPY,LU1602144815,MSCI Japan,Technology,15.47
Amundi MSCI Japan UCITS ETF Acc,LU1781541252,MSCI Japan,Other,28.3
Amundi MSCI Japan UCITS ETF Acc,LU1781541252,MSCI Japan,Industrials,23.13
Amundi MSCI Japan UCITS ETF Acc,LU1781541252,MSCI Japan,Consumer Discretionary,19.23
Amundi MSCI Japan UCITS ETF Acc,LU1781541252,MSCI Japan,Financials,15.55
Amundi MSCI Japan UCITS ETF Acc,LU1781541252,MSCI Japan,Technology,13.79
iShares MSCI Japan EUR Hedged UCITS ETF (Acc),IE00B42Z5J44,MSCI Japan 100% Hedged to EUR,Other,28.63
iShares MSCI Japan EUR Hedged UCITS ETF (Acc),IE00B42Z5J44,MSCI Japan 100% Hedged to EUR,Industrials,23.01
iShares MSCI Japan EUR Hedged UCITS ETF (Acc),IE00B42Z5J44,MSCI Japan 100% Hedged to EUR,Consumer Discretionary,19.09
iShares MSCI Japan EUR Hedged UCITS ETF (Acc),IE00B42Z5J44,MSCI Japan 100% Hedged to EUR,Financials,15.56
iShares MSCI Japan EUR Hedged UCITS ETF (Acc),IE00B42Z5J44,MSCI Japan 100% Hedged to EUR,Technology,13.71
SPDR MSCI Japan EUR Hedged UCITS ETF,IE00BZ0G8C04,MSCI Japan 100% Hedged to EUR,Other,28.31
SPDR MSCI Japan EUR Hedged UCITS ETF,IE00BZ0G8C04,MSCI Japan 100% Hedged to EUR,Industrials,23.12
SPDR MSCI Japan EUR Hedged UCITS ETF,IE00BZ0G8C04,MSCI Japan 100% Hedged to EUR,Consumer Discretionary,19.17
SPDR MSCI Japan EUR Hedged UCITS ETF,IE00BZ0G8C04,MSCI Japan 100% Hedged to EUR,Financials,15.62
SPDR MSCI Japan EUR Hedged UCITS ETF,IE00BZ0G8C04,MSCI Japan 100% Hedged to EUR,Technology,13.78
Xtrackers MSCI Japan UCITS ETF 4C EUR hedged,LU0659580079,MSCI Japan 100% Hedged to EUR,Other,28.36
Xtrackers MSCI Japan UCITS ETF 4C EUR hedged,LU0659580079,MSCI Japan 100% Hedged to EUR,Industrials,23.1
Xtrackers MSCI Japan UCITS ETF 4C EUR hedged,LU0659580079,MSCI Japan 100% Hedged to EUR,Consumer Discretionary,19.16
Xtrackers MSCI Japan UCITS ETF 4C EUR hedged,LU0659580079,MSCI Japan 100% Hedged to EUR,Financials,15.62
Xtrackers MSCI Japan UCITS ETF 4C EUR hedged,LU0659580079,MSCI Japan 100% Hedged to EUR,Technology,13.76
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-dis,LU0937837945,MSCI Japan 100% Hedged to EUR,Other,29.09
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-dis,LU0937837945,MSCI Japan 100% Hedged to EUR,Industrials,22.86
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-dis,LU0937837945,MSCI Japan 100% Hedged to EUR,Consumer Discretionary,18.98
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-dis,LU0937837945,MSCI Japan 100% Hedged to EUR,Financials,15.45
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-dis,LU0937837945,MSCI Japan 100% Hedged to EUR,Technology,13.62
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-acc,LU0950672476,MSCI Japan 100% Hedged to EUR,Other,29.09
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-acc,LU0950672476,MSCI Japan 100% Hedged to EUR,Industrials,22.86
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-acc,LU0950672476,MSCI Japan 100% Hedged to EUR,Consumer Discretionary,18.98
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-acc,LU0950672476,MSCI Japan 100% Hedged to EUR,Financials,15.45
UBS ETF (LU) MSCI Japan hedged EUR UCITS ETF (EUR) A-acc,LU0950672476,MSCI Japan 100% Hedged to EUR,Technology,13.62
iShares Core MSCI Japan IMI UCITS ETF,IE00B4L5YX21,MSCI Japan IMI,Other,31.08
iShares Core MSCI Japan IMI UCITS ETF,IE00B4L5YX21,MSCI Japan IMI,Industrials,23.56
iShares Core MSCI Japan IMI UCITS ETF,IE00B4L5YX21,MSCI Japan IMI,Consumer Discretionary,18.68
iShares Core MSCI Japan IMI UCITS ETF,IE00B4L5YX21,MSCI Japan IMI,Financials,13.64
iShares Core MSCI Japan IMI UCITS ETF,IE00B4L5YX21,MSCI Japan IMI,Technology,13.04
Xtrackers MSCI Nordic UCITS ETF 1D,IE00B9MRHC27,MSCI Nordic Countries,Other,43.8
Xtrackers MSCI Nordic UCITS ETF 1D,IE00B9MRHC27,MSCI Nordic Countries,Industrials,27.95
Xtrackers MSCI Nordic UCITS ETF 1D,IE00B9MRHC27,MSCI Nordic Countries,Financials,15.84
Xtrackers MSCI Nordic UCITS ETF 1D,IE00B9MRHC27,MSCI Nordic Countries,Telecommunication,7.29
Xtrackers MSCI Nordic UCITS ETF 1D,IE00B9MRHC27,MSCI Nordic Countries,Technology,5.12
iShares MSCI Pacific ex-Japan UCITS ETF (Dist),IE00B4WXJD03,MSCI Pacific ex-Japan,Financials,41.34
iShares MSCI Pacific ex-Japan UCITS ETF (Dist),IE00B4WXJD03,MSCI Pacific ex-Japan,Other,30.74
iShares MSCI Pacific ex-Japan UCITS ETF (Dist),IE00B4WXJD03,MSCI Pacific ex-Japan,Basic Materials,12.01
iShares MSCI Pacific ex-Japan UCITS ETF (Dist),IE00B4WXJD03,MSCI Pacific ex-Japan,Real Estate,8.15
iShares MSCI Pacific ex-Japan UCITS ETF (Dist),IE00B4WXJD03,MSCI Pacific ex-Japan,Industrials,7.76
iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),IE00B52MJY50,MSCI Pacific ex-Japan,Financials,41.34
iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),IE00B52MJY50,MSCI Pacific ex-Japan,Other,30.78
iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),IE00B52MJY50,MSCI Pacific ex-Japan,Basic Materials,12.0
iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),IE00B52MJY50,MSCI Pacific ex-Japan,Real Estate,8.14
iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),IE00B52MJY50,MSCI Pacific ex-Japan,Industrials,7.74
HSBC MSCI Pacific ex Japan UCITS ETF USD,IE00B5SG8Z57,MSCI Pacific ex-Japan,Financials,41.66
HSBC MSCI Pacific ex Japan UCITS ETF USD,IE00B5SG8Z57,MSCI Pacific ex-Japan,Other,30.37
HSBC MSCI Pacific ex Japan UCITS ETF USD,IE00B5SG8Z57,MSCI Pacific ex-Japan,Basic Materials,12.07
HSBC MSCI Pacific ex Japan UCITS ETF USD,IE00B5SG8Z57,MSCI Pacific ex-Japan,Real Estate,8.11
HSBC MSCI Pacific ex Japan UCITS ETF USD,IE00B5SG8Z57,MSCI Pacific ex-Japan,Industrials,7.79
Xtrackers MSCI Pacific ex Japan UCITS ETF 1C,LU0322252338,MSCI Pacific ex-Japan,Financials,42.86
Xtrackers MSCI Pacific ex Japan UCITS ETF 1C,LU0322252338,MSCI Pacific ex-Japan,Other,29.75
Xtrackers MSCI Pacific ex Japan UCITS ETF 1C,LU0322252338,MSCI Pacific ex-Japan,Basic Materials,11.05
Xtrackers MSCI Pacific ex Japan UCITS ETF 1C,LU0322252338,MSCI Pacific ex-Japan,Real Estate,8.67
Xtrackers MSCI Pacific ex Japan UCITS ETF 1C,LU0322252338,MSCI Pacific ex-Japan,Industrials,7.67
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-dis,LU0446734526,MSCI Pacific ex-Japan,Financials,41.39
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-dis,LU0446734526,MSCI Pacific ex-Japan,Other,30.73
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-dis,LU0446734526,MSCI Pacific ex-Japan,Basic Materials,11.98
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-dis,LU0446734526,MSCI Pacific ex-Japan,Real Estate,8.13
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-dis,LU0446734526,MSCI Pacific ex-Japan,Industrials,7.77
Amundi Index MSCI Pacific ex Japan UCITS ETF DR EUR (C),LU1602144906,MSCI Pacific ex-Japan,Financials,29.37
Amundi Index MSCI Pacific ex Japan UCITS ETF DR EUR (C),LU1602144906,MSCI Pacific ex-Japan,Real Estate,23.62
Amundi Index MSCI Pacific ex Japan UCITS ETF DR EUR (C),LU1602144906,MSCI Pacific ex-Japan,Other,18.28
Amundi Index MSCI Pacific ex Japan UCITS ETF DR EUR (C),LU1602144906,MSCI Pacific ex-Japan,Basic Materials,15.22
Amundi Index MSCI Pacific ex Japan UCITS ETF DR EUR (C),LU1602144906,MSCI Pacific ex-Japan,Industrials,13.51
Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,LU1602145036,MSCI Pacific ex-Japan,Financials,29.37
Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,LU1602145036,MSCI Pacific ex-Japan,Real Estate,23.62
Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,LU1602145036,MSCI Pacific ex-Japan,Other,18.28
Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,LU1602145036,MSCI Pacific ex-Japan,Basic Materials,15.22
Amundi ETF MSCI Pacific ex Japan UCITS ETF DR USD,LU1602145036,MSCI Pacific ex-Japan,Industrials,13.51
HSBC MSCI USA UCITS ETF USD,DE000A1C22K7,MSCI USA,Other,35.89
HSBC MSCI USA UCITS ETF USD,DE000A1C22K7,MSCI USA,Technology,29.54
HSBC MSCI USA UCITS ETF USD,DE000A1C22K7,MSCI USA,Health Care,14.24
HSBC MSCI USA UCITS ETF USD,DE000A1C22K7,MSCI USA,Consumer Discretionary,10.55
HSBC MSCI USA UCITS ETF USD,DE000A1C22K7,MSCI USA,Financials,9.78
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,FR0010296061,MSCI USA,Technology,33.91
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,FR0010296061,MSCI USA,Other,31.91
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,FR0010296061,MSCI USA,Health Care,14.5
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,FR0010296061,MSCI USA,Consumer Discretionary,10.41
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,FR0010296061,MSCI USA,Financials,9.27
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF Acc,FR0011363423,MSCI USA,Technology,33.91
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF Acc,FR0011363423,MSCI USA,Other,31.91
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF Acc,FR0011363423,MSCI USA,Health Care,14.5
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF Acc,FR0011363423,MSCI USA,Consumer Discretionary,10.41
Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF Acc,FR0011363423,MSCI USA,Financials,9.27
iShares MSCI USA UCITS ETF (Acc),IE00B52SFT06,MSCI USA,Technology,34.77
iShares MSCI USA UCITS ETF (Acc),IE00B52SFT06,MSCI USA,Other,33.36
iShares MSCI USA UCITS ETF (Acc),IE00B52SFT06,MSCI USA,Consumer Discretionary,11.64
iShares MSCI USA UCITS ETF (Acc),IE00B52SFT06,MSCI USA,Financials,10.35
iShares MSCI USA UCITS ETF (Acc),IE00B52SFT06,MSCI USA,Health Care,9.88
HSBC MSCI USA UCITS ETF USD,IE00B5WFQ436,MSCI USA,Other,35.89
HSBC MSCI USA UCITS ETF USD,IE00B5WFQ436,MSCI USA,Technology,29.54
HSBC MSCI USA UCITS ETF USD,IE00B5WFQ436,MSCI USA,Health Care,14.24
HSBC MSCI USA UCITS ETF USD,IE00B5WFQ436,MSCI USA,Consumer Discretionary,10.55
HSBC MSCI USA UCITS ETF USD,IE00B5WFQ436,MSCI USA,Financials,9.78
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-dis,IE00B77D4428,MSCI USA,Technology,34.56
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-dis,IE00B77D4428,MSCI USA,Other,33.6
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-dis,IE00B77D4428,MSCI USA,Consumer Discretionary,11.54
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-dis,IE00B77D4428,MSCI USA,Financials,10.38
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-dis,IE00B77D4428,MSCI USA,Health Care,9.92
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-acc,IE00BD4TXS21,MSCI USA,Technology,34.56
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-acc,IE00BD4TXS21,MSCI USA,Other,33.6
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-acc,IE00BD4TXS21,MSCI USA,Consumer Discretionary,11.54
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-acc,IE00BD4TXS21,MSCI USA,Financials,10.38
UBS ETF (IE) MSCI USA UCITS ETF (USD) A-acc,IE00BD4TXS21,MSCI USA,Health Care,9.92
Xtrackers MSCI USA UCITS ETF 1C,IE00BJ0KDR00,MSCI USA,Technology,34.87
Xtrackers MSCI USA UCITS ETF 1C,IE00BJ0KDR00,MSCI USA,Other,33.17
Xtrackers MSCI USA UCITS ETF 1C,IE00BJ0KDR00,MSCI USA,Consumer Discretionary,11.67
Xtrackers MSCI USA UCITS ETF 1C,IE00BJ0KDR00,MSCI USA,Financials,10.4
Xtrackers MSCI USA UCITS ETF 1C,IE00BJ0KDR00,MSCI USA,Health Care,9.89
UBS ETF (LU) MSCI USA UCITS ETF (USD) A-dis,LU0136234654,MSCI USA,Technology,34.62
UBS ETF (LU) MSCI USA UCITS ETF (USD) A-dis,LU0136234654,MSCI USA,Other,33.48
UBS ETF (LU) MSCI USA UCITS ETF (USD) A-dis,LU0136234654,MSCI USA,Consumer Discretionary,11.54
UBS ETF (LU) MSCI USA UCITS ETF (USD) A-dis,LU0136234654,MSCI USA,Financials,10.43
UBS ETF (LU) MSCI USA UCITS ETF (USD) A-dis,LU0136234654,MSCI USA,Health Care,9.93
iShares Edge MSCI USA Value Factor UCITS ETF,IE00BD1F4M44,MSCI USA Enhanced Value,Other,35.34
iShares Edge MSCI USA Value Factor UCITS ETF,IE00BD1F4M44,MSCI USA Enhanced Value,Technology,31.1
iShares Edge MSCI USA Value Factor UCITS ETF,IE00BD1F4M44,MSCI USA Enhanced Value,Financials,13.45
iShares Edge MSCI USA Value Factor UCITS ETF,IE00BD1F4M44,MSCI USA Enhanced Value,Consumer Discretionary,10.1
iShares Edge MSCI USA Value Factor UCITS ETF,IE00BD1F4M44,MSCI USA Enhanced Value,Health Care,10.01
iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist),IE00BFF5RX68,MSCI USA Enhanced Value,Other,35.34
iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist),IE00BFF5RX68,MSCI USA Enhanced Value,Technology,31.1
iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist),IE00BFF5RX68,MSCI USA Enhanced Value,Financials,13.45
iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist),IE00BFF5RX68,MSCI USA Enhanced Value,Consumer Discretionary,10.1
iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist),IE00BFF5RX68,MSCI USA Enhanced Value,Health Care,10.01
iShares MSCI USA Dividend IQ UCITS ETF,IE00BKM4H312,MSCI USA High Dividend Yield,Technology,37.98
iShares MSCI USA Dividend IQ UCITS ETF,IE00BKM4H312,MSCI USA High Dividend Yield,Other,27.26
iShares MSCI USA Dividend IQ UCITS ETF,IE00BKM4H312,MSCI USA High Dividend Yield,Health Care,15.04
iShares MSCI USA Dividend IQ UCITS ETF,IE00BKM4H312,MSCI USA High Dividend Yield,Consumer Discretionary,10.52
iShares MSCI USA Dividend IQ UCITS ETF,IE00BKM4H312,MSCI USA High Dividend Yield,Industrials,9.2
iShares Edge MSCI USA Size Factor UCITS ETF,IE00BD1F4K20,MSCI USA Mid-Cap Equal Weighted,Other,46.33
iShares Edge MSCI USA Size Factor UCITS ETF,IE00BD1F4K20,MSCI USA Mid-Cap Equal Weighted,Technology,16.97
iShares Edge MSCI USA Size Factor UCITS ETF,IE00BD1F4K20,MSCI USA Mid-Cap Equal Weighted,Industrials,14.25
iShares Edge MSCI USA Size Factor UCITS ETF,IE00BD1F4K20,MSCI USA Mid-Cap Equal Weighted,Financials,12.53
iShares Edge MSCI USA Size Factor UCITS ETF,IE00BD1F4K20,MSCI USA Mid-Cap Equal Weighted,Consumer Discretionary,9.92
iShares Edge MSCI USA Momentum Factor UCITS ETF,IE00BD1F4N50,MSCI USA Momentum,Technology,31.22
iShares Edge MSCI USA Momentum Factor UCITS ETF,IE00BD1F4N50,MSCI USA Momentum,Other,28.81
iShares Edge MSCI USA Momentum Factor UCITS ETF,IE00BD1F4N50,MSCI USA Momentum,Financials,19.22
iShares Edge MSCI USA Momentum Factor UCITS ETF,IE00BD1F4N50,MSCI USA Momentum,Consumer Staples,11.16
