Fund,ISIN,Index,Country,Allocation
SPDR Refinitiv Global Convertible Bond UCITS ETF,IE00BNH72088,FTSE Qualified Global Convertible,France,4.22
SPDR Refinitiv Global Convertible Bond UCITS ETF,IE00BNH72088,FTSE Qualified Global Convertible,Germany,4.19
SPDR Refinitiv Global Convertible Bond EUR Hedged UCITS ETF,IE00BDT6FP91,FTSE Qualified Global Convertible (EUR Hedged),Other,65.26
SPDR Refinitiv Global Convertible Bond EUR Hedged UCITS ETF,IE00BDT6FP91,FTSE Qualified Global Convertible (EUR Hedged),United States,21.14
SPDR Refinitiv Global Convertible Bond EUR Hedged UCITS ETF,IE00BDT6FP91,FTSE Qualified Global Convertible (EUR Hedged),Cayman Islands,5.05
SPDR Refinitiv Global Convertible Bond EUR Hedged UCITS ETF,IE00BDT6FP91,FTSE Qualified Global Convertible (EUR Hedged),France,4.29
SPDR Refinitiv Global Convertible Bond EUR Hedged UCITS ETF,IE00BDT6FP91,FTSE Qualified Global Convertible (EUR Hedged),Germany,4.26
Xtrackers Global Sovereign UCITS ETF 5C,LU0908508731,FTSE World Government Bond - Developed Markets,Other,47.97
Xtrackers Global Sovereign UCITS ETF 5C,LU0908508731,FTSE World Government Bond - Developed Markets,United States,27.04
Xtrackers Global Sovereign UCITS ETF 5C,LU0908508731,FTSE World Government Bond - Developed Markets,Japan,12.54
Xtrackers Global Sovereign UCITS ETF 5C,LU0908508731,FTSE World Government Bond - Developed Markets,France,6.81
Xtrackers Global Sovereign UCITS ETF 5C,LU0908508731,FTSE World Government Bond - Developed Markets,Italy,5.64
Xtrackers Global Sovereign UCITS ETF 1C EUR hedged,LU0378818131,FTSE World Government Bond - Developed Markets (Hedged EUR),Other,47.73
Xtrackers Global Sovereign UCITS ETF 1C EUR hedged,LU0378818131,FTSE World Government Bond - Developed Markets (Hedged EUR),United States,27.16
Xtrackers Global Sovereign UCITS ETF 1C EUR hedged,LU0378818131,FTSE World Government Bond - Developed Markets (Hedged EUR),Japan,12.6
Xtrackers Global Sovereign UCITS ETF 1C EUR hedged,LU0378818131,FTSE World Government Bond - Developed Markets (Hedged EUR),France,6.84
Xtrackers Global Sovereign UCITS ETF 1C EUR hedged,LU0378818131,FTSE World Government Bond - Developed Markets (Hedged EUR),Italy,5.67
Xtrackers Global Government Bond UCITS ETF 1D EUR hedged,LU0690964092,FTSE World Government Bond - Developed Markets (Hedged EUR),Other,47.73
Xtrackers Global Government Bond UCITS ETF 1D EUR hedged,LU0690964092,FTSE World Government Bond - Developed Markets (Hedged EUR),United States,27.16
Xtrackers Global Government Bond UCITS ETF 1D EUR hedged,LU0690964092,FTSE World Government Bond - Developed Markets (Hedged EUR),Japan,12.6
Xtrackers Global Government Bond UCITS ETF 1D EUR hedged,LU0690964092,FTSE World Government Bond - Developed Markets (Hedged EUR),France,6.84
Xtrackers Global Government Bond UCITS ETF 1D EUR hedged,LU0690964092,FTSE World Government Bond - Developed Markets (Hedged EUR),Italy,5.67
iShares Global Government Bond UCITS ETF USD (Dist),IE00B3F81K65,FTSE World Government Bond G7,Other,41.31
iShares Global Government Bond UCITS ETF USD (Dist),IE00B3F81K65,FTSE World Government Bond G7,United States,30.15
iShares Global Government Bond UCITS ETF USD (Dist),IE00B3F81K65,FTSE World Government Bond G7,Japan,14.24
iShares Global Government Bond UCITS ETF USD (Dist),IE00B3F81K65,FTSE World Government Bond G7,France,7.93
iShares Global Government Bond UCITS ETF USD (Dist),IE00B3F81K65,FTSE World Government Bond G7,Italy,6.37
iShares Global Government Bond UCITS ETF,IE00BYZ28V50,FTSE World Government Bond G7,Other,41.31
iShares Global Government Bond UCITS ETF,IE00BYZ28V50,FTSE World Government Bond G7,United States,30.15
iShares Global Government Bond UCITS ETF,IE00BYZ28V50,FTSE World Government Bond G7,Japan,14.24
iShares Global Government Bond UCITS ETF,IE00BYZ28V50,FTSE World Government Bond G7,France,7.93
iShares Global Government Bond UCITS ETF,IE00BYZ28V50,FTSE World Government Bond G7,Italy,6.37
VanEck Vectors Global Real Estate UCITS ETF,NL0009690239,GPR Global 100,United States,70.9
VanEck Vectors Global Real Estate UCITS ETF,NL0009690239,GPR Global 100,Other,12.43
VanEck Vectors Global Real Estate UCITS ETF,NL0009690239,GPR Global 100,Japan,9.96
VanEck Vectors Global Real Estate UCITS ETF,NL0009690239,GPR Global 100,United Kingdom,3.43
VanEck Vectors Global Real Estate UCITS ETF,NL0009690239,GPR Global 100,Australia,3.28
iShares USD High Yield Corporate Bond UCITS ETF USD (Dist),IE00B4PY7Y77,iBoxx $ Liquid High Yield Capped,United States,69.08
iShares USD High Yield Corporate Bond UCITS ETF USD (Dist),IE00B4PY7Y77,iBoxx $ Liquid High Yield Capped,Other,24.83
iShares USD High Yield Corporate Bond UCITS ETF USD (Dist),IE00B4PY7Y77,iBoxx $ Liquid High Yield Capped,Netherlands,2.73
iShares USD High Yield Corporate Bond UCITS ETF USD (Dist),IE00B4PY7Y77,iBoxx $ Liquid High Yield Capped,Ireland,2.02
iShares USD High Yield Corporate Bond UCITS ETF USD (Dist),IE00B4PY7Y77,iBoxx $ Liquid High Yield Capped,Canada,1.34
iShares USD High Yield Corporate Bond UCITS ETF USD (Acc),IE00BYXYYL56,iBoxx $ Liquid High Yield Capped,United States,69.08
iShares USD High Yield Corporate Bond UCITS ETF USD (Acc),IE00BYXYYL56,iBoxx $ Liquid High Yield Capped,Other,24.83
iShares USD High Yield Corporate Bond UCITS ETF USD (Acc),IE00BYXYYL56,iBoxx $ Liquid High Yield Capped,Netherlands,2.73
iShares USD High Yield Corporate Bond UCITS ETF USD (Acc),IE00BYXYYL56,iBoxx $ Liquid High Yield Capped,Ireland,2.02
iShares USD High Yield Corporate Bond UCITS ETF USD (Acc),IE00BYXYYL56,iBoxx $ Liquid High Yield Capped,Canada,1.34
iShares USD Corporate Bond UCITS ETF (Dist),IE0032895942,iBoxx $ Liquid Investment Grade,United States,62.66
iShares USD Corporate Bond UCITS ETF (Dist),IE0032895942,iBoxx $ Liquid Investment Grade,Other,31.43
iShares USD Corporate Bond UCITS ETF (Dist),IE0032895942,iBoxx $ Liquid Investment Grade,United Kingdom,3.08
iShares USD Corporate Bond UCITS ETF (Dist),IE0032895942,iBoxx $ Liquid Investment Grade,Japan,1.43
iShares USD Corporate Bond UCITS ETF (Dist),IE0032895942,iBoxx $ Liquid Investment Grade,Canada,1.4
iShares USD Corporate Bond UCITS ETF (Acc),IE00BYXYYJ35,iBoxx $ Liquid Investment Grade,United States,62.66
iShares USD Corporate Bond UCITS ETF (Acc),IE00BYXYYJ35,iBoxx $ Liquid Investment Grade,Other,31.43
iShares USD Corporate Bond UCITS ETF (Acc),IE00BYXYYJ35,iBoxx $ Liquid Investment Grade,United Kingdom,3.08
iShares USD Corporate Bond UCITS ETF (Acc),IE00BYXYYJ35,iBoxx $ Liquid Investment Grade,Japan,1.43
iShares USD Corporate Bond UCITS ETF (Acc),IE00BYXYYJ35,iBoxx $ Liquid Investment Grade,Canada,1.4
Xtrackers iBoxx EUR Corporates Yield Plus UCITS ETF 1D,IE00BYPHT736,iBoxx EUR Corporates Yield Plus,Other,57.03
Xtrackers iBoxx EUR Corporates Yield Plus UCITS ETF 1D,IE00BYPHT736,iBoxx EUR Corporates Yield Plus,United States,14.59
Xtrackers iBoxx EUR Corporates Yield Plus UCITS ETF 1D,IE00BYPHT736,iBoxx EUR Corporates Yield Plus,France,13.73
Xtrackers iBoxx EUR Corporates Yield Plus UCITS ETF 1D,IE00BYPHT736,iBoxx EUR Corporates Yield Plus,Netherlands,8.46
Xtrackers iBoxx EUR Corporates Yield Plus UCITS ETF 1D,IE00BYPHT736,iBoxx EUR Corporates Yield Plus,Germany,6.19
Xtrackers Eurozone Government Bond 15-30 UCITS ETF 1C,LU0290357507,iBoxx EUR Eurozone 15-30,France,26.89
Xtrackers Eurozone Government Bond 15-30 UCITS ETF 1C,LU0290357507,iBoxx EUR Eurozone 15-30,Germany,22.86
Xtrackers Eurozone Government Bond 15-30 UCITS ETF 1C,LU0290357507,iBoxx EUR Eurozone 15-30,Italy,21.84
Xtrackers Eurozone Government Bond 15-30 UCITS ETF 1C,LU0290357507,iBoxx EUR Eurozone 15-30,Spain,14.87
Xtrackers Eurozone Government Bond 15-30 UCITS ETF 1C,LU0290357507,iBoxx EUR Eurozone 15-30,Netherlands,7.67
Xtrackers Eurozone Government Bond 15-30 UCITS ETF 1C,LU0290357507,iBoxx EUR Eurozone 15-30,Other,5.87
iShares Euro Government Bond 20yr Target Duration UCITS ETF,IE00BSKRJX20,iBoxx EUR Eurozone 20yr Target Duration,France,37.68
iShares Euro Government Bond 20yr Target Duration UCITS ETF,IE00BSKRJX20,iBoxx EUR Eurozone 20yr Target Duration,Germany,22.65
iShares Euro Government Bond 20yr Target Duration UCITS ETF,IE00BSKRJX20,iBoxx EUR Eurozone 20yr Target Duration,Other,19.31
iShares Euro Government Bond 20yr Target Duration UCITS ETF,IE00BSKRJX20,iBoxx EUR Eurozone 20yr Target Duration,Belgium,11.6
iShares Euro Government Bond 20yr Target Duration UCITS ETF,IE00BSKRJX20,iBoxx EUR Eurozone 20yr Target Duration,Netherlands,8.76
Amundi ETF Euro Inflation UCITS ETF EUR (C),FR0010754127,iBoxx EUR Inflation-Linked,France,41.7
Amundi ETF Euro Inflation UCITS ETF EUR (C),FR0010754127,iBoxx EUR Inflation-Linked,Italy,27.28
Amundi ETF Euro Inflation UCITS ETF EUR (C),FR0010754127,iBoxx EUR Inflation-Linked,Spain,13.34
Amundi ETF Euro Inflation UCITS ETF EUR (C),FR0010754127,iBoxx EUR Inflation-Linked,Germany,13.21
Xtrackers Eurozone Government Bond 25+ UCITS ETF 1C,LU0290357846,iBoxx Eurozone 25+,France,39.59
Xtrackers Eurozone Government Bond 25+ UCITS ETF 1C,LU0290357846,iBoxx Eurozone 25+,Italy,17.29
Xtrackers Eurozone Government Bond 25+ UCITS ETF 1C,LU0290357846,iBoxx Eurozone 25+,Germany,14.21
Xtrackers Eurozone Government Bond 25+ UCITS ETF 1C,LU0290357846,iBoxx Eurozone 25+,Spain,13.53
Xtrackers Eurozone Government Bond 25+ UCITS ETF 1C,LU0290357846,iBoxx Eurozone 25+,Other,13.2
Xtrackers Eurozone Government Bond 25+ UCITS ETF 1C,LU0290357846,iBoxx Eurozone 25+,Netherlands,2.18
iShares Global High Yield Corporate Bond UCITS ETF,IE00B74DQ490,iBoxx Global Developed Markets Liquid High Yield Capped,Other,45.22
iShares Global High Yield Corporate Bond UCITS ETF,IE00B74DQ490,iBoxx Global Developed Markets Liquid High Yield Capped,United States,38.31
iShares Global High Yield Corporate Bond UCITS ETF,IE00B74DQ490,iBoxx Global Developed Markets Liquid High Yield Capped,Italy,6.51
iShares Global High Yield Corporate Bond UCITS ETF,IE00B74DQ490,iBoxx Global Developed Markets Liquid High Yield Capped,United Kingdom,5.06
iShares Global High Yield Corporate Bond UCITS ETF,IE00B74DQ490,iBoxx Global Developed Markets Liquid High Yield Capped,France,4.9
iShares Global High Yield Corporate Bond UCITS ETF,IE00BYWZ0440,iBoxx Global Developed Markets Liquid High Yield Capped,Other,45.22
iShares Global High Yield Corporate Bond UCITS ETF,IE00BYWZ0440,iBoxx Global Developed Markets Liquid High Yield Capped,United States,38.31
iShares Global High Yield Corporate Bond UCITS ETF,IE00BYWZ0440,iBoxx Global Developed Markets Liquid High Yield Capped,Italy,6.51
iShares Global High Yield Corporate Bond UCITS ETF,IE00BYWZ0440,iBoxx Global Developed Markets Liquid High Yield Capped,United Kingdom,5.06
iShares Global High Yield Corporate Bond UCITS ETF,IE00BYWZ0440,iBoxx Global Developed Markets Liquid High Yield Capped,France,4.9
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Dist),IE00B66F4759,iBoxx € Liquid High Yield,Other,59.54
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Dist),IE00B66F4759,iBoxx € Liquid High Yield,Italy,11.7
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Dist),IE00B66F4759,iBoxx € Liquid High Yield,France,11.15
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Dist),IE00B66F4759,iBoxx € Liquid High Yield,United States,8.98
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Dist),IE00B66F4759,iBoxx € Liquid High Yield,Germany,8.63
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Acc),IE00BF3N7094,iBoxx € Liquid High Yield,Other,59.54
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Acc),IE00BF3N7094,iBoxx € Liquid High Yield,Italy,11.7
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Acc),IE00BF3N7094,iBoxx € Liquid High Yield,France,11.15
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Acc),IE00BF3N7094,iBoxx € Liquid High Yield,United States,8.98
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Acc),IE00BF3N7094,iBoxx € Liquid High Yield,Germany,8.63
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1D,LU1109942653,iBoxx € Liquid High Yield,Other,59.63
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1D,LU1109942653,iBoxx € Liquid High Yield,Italy,11.5
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1D,LU1109942653,iBoxx € Liquid High Yield,France,11.1
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1D,LU1109942653,iBoxx € Liquid High Yield,United States,9.12
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1D,LU1109942653,iBoxx € Liquid High Yield,Germany,8.65
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1C,LU1109943388,iBoxx € Liquid High Yield,Other,59.63
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1C,LU1109943388,iBoxx € Liquid High Yield,Italy,11.5
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1C,LU1109943388,iBoxx € Liquid High Yield,France,11.1
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1C,LU1109943388,iBoxx € Liquid High Yield,United States,9.12
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1C,LU1109943388,iBoxx € Liquid High Yield,Germany,8.65
Xtrackers II Eurozone Government Bond UCITS ETF 1C,LU0290355717,iBoxx € Sovereigns,Other,32.48
Xtrackers II Eurozone Government Bond UCITS ETF 1C,LU0290355717,iBoxx € Sovereigns,France,21.95
Xtrackers II Eurozone Government Bond UCITS ETF 1C,LU0290355717,iBoxx € Sovereigns,Italy,18.23
Xtrackers II Eurozone Government Bond UCITS ETF 1C,LU0290355717,iBoxx € Sovereigns,Germany,14.77
Xtrackers II Eurozone Government Bond UCITS ETF 1C,LU0290355717,iBoxx € Sovereigns,Spain,12.57
Xtrackers II Eurozone Government Bond UCITS ETF 1D,LU0643975591,iBoxx € Sovereigns,Other,32.5
Xtrackers II Eurozone Government Bond UCITS ETF 1D,LU0643975591,iBoxx € Sovereigns,France,21.93
Xtrackers II Eurozone Government Bond UCITS ETF 1D,LU0643975591,iBoxx € Sovereigns,Italy,18.23
Xtrackers II Eurozone Government Bond UCITS ETF 1D,LU0643975591,iBoxx € Sovereigns,Germany,14.76
Xtrackers II Eurozone Government Bond UCITS ETF 1D,LU0643975591,iBoxx € Sovereigns,Spain,12.58
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,LU0290356871,iBoxx € Sovereigns 1-3,Other,32.93
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,LU0290356871,iBoxx € Sovereigns 1-3,France,21.41
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,LU0290356871,iBoxx € Sovereigns 1-3,Italy,17.81
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,LU0290356871,iBoxx € Sovereigns 1-3,Germany,14.88
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,LU0290356871,iBoxx € Sovereigns 1-3,Spain,10.23
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,LU0290356871,iBoxx € Sovereigns 1-3,Netherlands,2.74
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1D,LU0614173549,iBoxx € Sovereigns 1-3,Other,32.98
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1D,LU0614173549,iBoxx € Sovereigns 1-3,France,21.42
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1D,LU0614173549,iBoxx € Sovereigns 1-3,Italy,17.84
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1D,LU0614173549,iBoxx € Sovereigns 1-3,Germany,14.83
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1D,LU0614173549,iBoxx € Sovereigns 1-3,Spain,10.22
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1D,LU0614173549,iBoxx € Sovereigns 1-3,Netherlands,2.71
L&G Cyber Security UCITS ETF,IE00BYPLS672,ISE Cyber Security,United States,76.58
L&G Cyber Security UCITS ETF,IE00BYPLS672,ISE Cyber Security,Israel,11.47
L&G Cyber Security UCITS ETF,IE00BYPLS672,ISE Cyber Security,Canada,5.36
L&G Cyber Security UCITS ETF,IE00BYPLS672,ISE Cyber Security,Japan,5.24
L&G Cyber Security UCITS ETF,IE00BYPLS672,ISE Cyber Security,Other,1.35
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,iSTOXX FactSet Automation & Robotics,United States,56.1
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,iSTOXX FactSet Automation & Robotics,Other,19.4
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,iSTOXX FactSet Automation & Robotics,Japan,12.2
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,iSTOXX FactSet Automation & Robotics,Germany,6.8
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,iSTOXX FactSet Automation & Robotics,Switzerland,5.5
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iSTOXX FactSet Automation & Robotics,United States,56.1
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iSTOXX FactSet Automation & Robotics,Other,19.4
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iSTOXX FactSet Automation & Robotics,Japan,12.2
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iSTOXX FactSet Automation & Robotics,Germany,6.8
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iSTOXX FactSet Automation & Robotics,Switzerland,5.5
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,JP Morgan Diversified Factor Global Developed (Region Aware) Equity,United States,59.94
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,JP Morgan Diversified Factor Global Developed (Region Aware) Equity,Other,21.67
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,JP Morgan Diversified Factor Global Developed (Region Aware) Equity,Canada,7.79
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,JP Morgan Diversified Factor Global Developed (Region Aware) Equity,Japan,6.39
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,JP Morgan Diversified Factor Global Developed (Region Aware) Equity,United Kingdom,4.21
JPMorgan BetaBuilders EUR Govt Bond UCITS ETF EUR (acc),IE00BJK9HD13,JP Morgan EMU Government Bond,Other,34.89
JPMorgan BetaBuilders EUR Govt Bond UCITS ETF EUR (acc),IE00BJK9HD13,JP Morgan EMU Government Bond,France,22.82
JPMorgan BetaBuilders EUR Govt Bond UCITS ETF EUR (acc),IE00BJK9HD13,JP Morgan EMU Government Bond,Italy,17.85
JPMorgan BetaBuilders EUR Govt Bond UCITS ETF EUR (acc),IE00BJK9HD13,JP Morgan EMU Government Bond,Germany,13.12
JPMorgan BetaBuilders EUR Govt Bond UCITS ETF EUR (acc),IE00BJK9HD13,JP Morgan EMU Government Bond,Spain,11.32
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF,LU2244387457,JP Morgan ESG EMU Government Bond IG 3-5 Year,Other,33.36
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF,LU2244387457,JP Morgan ESG EMU Government Bond IG 3-5 Year,France,23.45
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF,LU2244387457,JP Morgan ESG EMU Government Bond IG 3-5 Year,Italy,16.34
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF,LU2244387457,JP Morgan ESG EMU Government Bond IG 3-5 Year,Germany,14.88
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF,LU2244387457,JP Morgan ESG EMU Government Bond IG 3-5 Year,Spain,11.97
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,LibertyQ Emerging Markets,Other,41.76
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,LibertyQ Emerging Markets,China,27.26
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,LibertyQ Emerging Markets,India,13.78
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,LibertyQ Emerging Markets,Taiwan,9.36
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,LibertyQ Emerging Markets,South Korea,7.84
VanEck Defense UCITS ETF A,IE000YYE6WK5,MarketVector Global Defense Industry,United States,59.33
VanEck Defense UCITS ETF A,IE000YYE6WK5,MarketVector Global Defense Industry,Other,18.28
VanEck Defense UCITS ETF A,IE000YYE6WK5,MarketVector Global Defense Industry,France,10.6
VanEck Defense UCITS ETF A,IE000YYE6WK5,MarketVector Global Defense Industry,Italy,6.84
VanEck Defense UCITS ETF A,IE000YYE6WK5,MarketVector Global Defense Industry,South Korea,4.95
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,MarketVector Global Uranium and Nuclear Energy Infrastructure,Canada,29.41
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,MarketVector Global Uranium and Nuclear Energy Infrastructure,Japan,23.37
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,MarketVector Global Uranium and Nuclear Energy Infrastructure,United States,23.11
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,MarketVector Global Uranium and Nuclear Energy Infrastructure,Other,17.64
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,MarketVector Global Uranium and Nuclear Energy Infrastructure,South Korea,6.47
VanEck Video Gaming and eSports UCITS ETF,IE00BYWQWR46,MarketVector Global Video Gaming & eSports ESG,United States,38.03
VanEck Video Gaming and eSports UCITS ETF,IE00BYWQWR46,MarketVector Global Video Gaming & eSports ESG,Japan,26.68
VanEck Video Gaming and eSports UCITS ETF,IE00BYWQWR46,MarketVector Global Video Gaming & eSports ESG,Other,20.04
VanEck Video Gaming and eSports UCITS ETF,IE00BYWQWR46,MarketVector Global Video Gaming & eSports ESG,China,9.07
VanEck Video Gaming and eSports UCITS ETF,IE00BYWQWR46,MarketVector Global Video Gaming & eSports ESG,South Korea,6.18
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1C,LU0290356954,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,Other,42.57
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1C,LU0290356954,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,Italy,17.91
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1C,LU0290356954,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,Germany,13.77
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1C,LU0290356954,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,France,11.31
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1C,LU0290356954,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,Spain,10.59
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1C,LU0290356954,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,Netherlands,3.85
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1D,LU0614173895,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,Other,42.51
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1D,LU0614173895,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,Italy,17.93
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1D,LU0614173895,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,Germany,13.78
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1D,LU0614173895,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,France,11.32
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1D,LU0614173895,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,Spain,10.6
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1D,LU0614173895,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5,Netherlands,3.86
iShares EUR Ultrashort Bond UCITS ETF EUR (Acc),IE000RHYOR04,Markit iBoxx EUR Liquid Investment Grade Ultrashort,Other,45.54
iShares EUR Ultrashort Bond UCITS ETF EUR (Acc),IE000RHYOR04,Markit iBoxx EUR Liquid Investment Grade Ultrashort,France,16.92
iShares EUR Ultrashort Bond UCITS ETF EUR (Acc),IE000RHYOR04,Markit iBoxx EUR Liquid Investment Grade Ultrashort,United States,15.65
iShares EUR Ultrashort Bond UCITS ETF EUR (Acc),IE000RHYOR04,Markit iBoxx EUR Liquid Investment Grade Ultrashort,Netherlands,12.91
iShares EUR Ultrashort Bond UCITS ETF EUR (Acc),IE000RHYOR04,Markit iBoxx EUR Liquid Investment Grade Ultrashort,Germany,8.98
iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),IE00BCRY6557,Markit iBoxx EUR Liquid Investment Grade Ultrashort,Other,45.54
iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),IE00BCRY6557,Markit iBoxx EUR Liquid Investment Grade Ultrashort,France,16.92
iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),IE00BCRY6557,Markit iBoxx EUR Liquid Investment Grade Ultrashort,United States,15.65
iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),IE00BCRY6557,Markit iBoxx EUR Liquid Investment Grade Ultrashort,Netherlands,12.91
iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),IE00BCRY6557,Markit iBoxx EUR Liquid Investment Grade Ultrashort,Germany,8.98
iShares GBP Ultrashort Bond UCITS ETF,IE00BCRY6441,Markit iBoxx GBP Liquid Investment Grade Ultrashort,Other,41.83
iShares GBP Ultrashort Bond UCITS ETF,IE00BCRY6441,Markit iBoxx GBP Liquid Investment Grade Ultrashort,United Kingdom,35.35
iShares GBP Ultrashort Bond UCITS ETF,IE00BCRY6441,Markit iBoxx GBP Liquid Investment Grade Ultrashort,Canada,8.81
iShares GBP Ultrashort Bond UCITS ETF,IE00BCRY6441,Markit iBoxx GBP Liquid Investment Grade Ultrashort,Germany,7.36
iShares GBP Ultrashort Bond UCITS ETF,IE00BCRY6441,Markit iBoxx GBP Liquid Investment Grade Ultrashort,United States,6.65
iShares Global High Yield Corp Bond GBP Hedged UCITS ETF (Dist),IE00B8KQFS66,Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged),Other,45.17
iShares Global High Yield Corp Bond GBP Hedged UCITS ETF (Dist),IE00B8KQFS66,Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged),United States,38.44
iShares Global High Yield Corp Bond GBP Hedged UCITS ETF (Dist),IE00B8KQFS66,Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged),Italy,6.73
iShares Global High Yield Corp Bond GBP Hedged UCITS ETF (Dist),IE00B8KQFS66,Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged),France,4.84
